,blog_title,blog_url,id,scheduled_post,xml
1003,Shocking Home Decor,https://daryna.blogtivity.id/accounts/blogdetails/data/Jw2igO80KfEoLky1E6qxRcUKcKbvOvXIR3VTQzVXODQ5YWtPNFMySUJONlQxUT09MFRjvCM8iA4Jds285qkzylXb6Zei4g5I,1626119195.0,0.0,-
1031,Jubilant Home Decor,https://daryna.blogtivity.id/accounts/blogdetails/data/sA5dXtu02WOKE8wzbjROOshSfL8oJZXOVEtEdm1rQkVMUlMzbEtPK0NLck5xUT09oxUW2YlbKp0irKMZk5dqaUy5kbsnt7X7,1626124057.0,0.0,-
1002,Alluring Home Decor,https://daryna.blogtivity.id/accounts/blogdetails/data/4oFltcHtZptm1DwktUCnN2QiaEZyqCgvZnR2cGM1NEVtWVRGL1FmcEdTMktqdz09OCp6N3QX3TFoqGRDDCbIwSpj6CgLKJCV,1626119194.0,0.0,-
890,Koleksi Resep Terbaik,https://daryna.blogtivity.id/accounts/blogdetails/data/Sv0IEay6f7AzstGgY0vRsF8WmDNrB35WbkJYckREMXgzNkd6SDZwdzRqRDJhUT09Dom8YxBVnYwbj4DUREk823exLCyWvtCQ,1625849036.0,0.0,-
863,Aneka Resep Nikmat,https://daryna.blogtivity.id/accounts/blogdetails/data/8yfNx1TWzgSjOidpqs0CTbr7pEw3lUYENHdEK3hLcVNrSUVMZG12c25pM3l1QT09ZjmAYQt9bKRSHRX2NTqUdfOHpu1lhjwd,1625844680.0,0.0,-
864,Aneka Resep Terbaru,https://daryna.blogtivity.id/accounts/blogdetails/data/UndwLwZ72ogYDay7MbablICy8aTW2XkCa213MVJKc2wxbDgyaTVGbnFpd2ZqZz09wSEhLkovHtKnyG00uI4fUShQJNPdmVON,1625846011.0,0.0,-
865,Info Resep Enak,https://daryna.blogtivity.id/accounts/blogdetails/data/w92kjcEfE6lPhfK8eKfmD9Qn3ioQWjGTMVZMbDdOcDVqY0VoSjU4azZBaThDdz09ibeJ9wVQlxgdu6XgpzdMREWW6TgJzxTm,1625846012.0,0.0,-
866,Pusat Resep Lezat,https://daryna.blogtivity.id/accounts/blogdetails/data/hYCBEFbCTQFiAvYB9pxdVdsRFpPmI4K3cDEwaUQ1S3hIalllMjV3SktsYmxkUT09WaAKBxOAWRu2A7QF34D0Syqn839vCMQo,1625846013.0,0.0,-
867,Referensi Resep Termudah,https://daryna.blogtivity.id/accounts/blogdetails/data/psQhIhDYRYPJHj2WCwXTrVc7KYkoXXTrOStQRTVtT3ZySkJHVVR0N0NqYWhBdz09wLkizTVOSlN8cNyQqoY8MQAjaX0tvmLG,1625846013.0,0.0,-
868,Kumpulan Resep Terbaik,https://daryna.blogtivity.id/accounts/blogdetails/data/qfMQy3FxEiaGQ7i9XbAtEMFVN9KQU91WbGpseVBvaWViZ1JqdzJKNXJJMmQvZz09rKMXTgaM85OGrPZTGxocO7rjzPKGMkrv,1625846014.0,0.0,-
869,Koleksi Resep Nikmat,https://daryna.blogtivity.id/accounts/blogdetails/data/9NlbQ8zJe2Sq5WTIzeClVyWEoxcefR6aZ0lNbVM5UjJrMGJrTGpBblBnVWVjdz09Om9VOgdn8o5V3VzhyKa1rzmfmQSj94o0,1625846014.0,0.0,-
870,Pusat Resep Mudah,https://daryna.blogtivity.id/accounts/blogdetails/data/CpotuV2lmbR6RRVt0DrzpXKd3q9cPYF0clQ0Z2pycmNtSmJpeXVHZDJUZUNodz09jgYcak10VAH8EZ77IVbtWFup2BoEq4Hm,1625846015.0,0.0,-
871,Informasi Resep Enak,https://daryna.blogtivity.id/accounts/blogdetails/data/ubu1kYGh7JxqlgN5BK4QR2VK8xZfmeF4RVRwY0kvTW1IU0MyQVRYUlVkS0Q2Zz095mbt5ADRmYQpp159Bmp73sZ66ek0FxbK,1625846016.0,0.0,-
872,Kumpulan Resep Terbaru,https://daryna.blogtivity.id/accounts/blogdetails/data/wKP0rZJLFJ8eRdYwr0oXGluueF0SJIVnaS9vUHBzU0FpVDl5N2NUT2JGRWVqZz09O3U0xrZSxsJmZHLVFaoLQdw50miiH0KU,1625846016.0,0.0,-
873,Info Resep Terbaik,https://daryna.blogtivity.id/accounts/blogdetails/data/nnmjtf88OEgMnazFpkW5GOrMxFgk9OFsR1NjR2U3dVB3YnFvbFZ6V2t2VERkZz09ThkM43PhRyu9fRmmIOvf4fNbMi3W7Ste,1625847514.0,0.0,-
874,Aneka Resep Praktis,https://daryna.blogtivity.id/accounts/blogdetails/data/Sz1nF22faUpnBpCAC7rHPpHKNCmTPCgVV3RaeThBRDc4c3dKbkZwc09FbER6dz09loF4l6hlPHjNMJCokmeWJgPGsukMEBq6,1625847514.0,0.0,-
875,Referensi Resep Nikmat,https://daryna.blogtivity.id/accounts/blogdetails/data/v0xYvizKBfiJh6dCB6UYQQkCMjKJHy5eYmJqWE5NZVp2STdLVmZoN2d4NmMzQT096Wkw1A200KV83DtzX0zLECWd9vO9mWAQ,1625847515.0,0.0,-
876,Referensi Resep Praktis,https://daryna.blogtivity.id/accounts/blogdetails/data/Rb3ZYSvvDY1HifqaOacobzf3jtYz3JtJR21rYWJkcGZWYUQvNHVaajR1a3FlQT09hIhklOz5mhnMjkqUfrqtI0pzLEZvfzmP,1625847515.0,0.0,-
